S_BelegParam.Konto;S_BelegParam.Belegart;c_XXXkontenart;BG_FKopf.FormularNr;S_BelegParam.FormularAnzahl;S_Auftragsart.Auftragsart;BBM_WflWorkGroup.BBM_WflWorkGroup_id;S_BelegParam.Gueltigkeitsdauer;V_BelegKopf.FormularNrAbruf;V_BelegKopf.FormularNrLT;S_BelegParam.Abrufverfahren;S_BelegParam.CalculationTransit;S_BelegParam.DFULieferschein;S_BelegParam.DFURechnung;S_BelegParam.DFUGutschriftenanzeige;S_BelegParam.FillUpTU;S_BelegParam.Kopftext1;S_BelegParam.Kopftext2;S_BelegParam.Kopftext3;S_BelegParam.Kopftext4;S_BelegParam.Bemerkung1;S_BelegParam.Bemerkung2;S_BelegParam.Bemerkung3;SBM_ProfitCenter.SBM_ProfitCenter_ID;SBM_DeliveryConf.SBM_DeliveryConf_ID;S_BelegParam.TemplateID;S_BelegParam.FormMKBL;S_BelegParam.I_TaxRegisterKey;S_BelegParam.I_DocumentType;S_F_Journal.S_F_Journal_ID;S_BelegParam.uCA_Lieferstatus;S_BelegParam.uCA_RegardOrderMultiple;S_BelegParam.uCA_SingularizePackaging;S_BelegParam.uCA_ReleaseLinesPast;S_BelegParam.UCI_CalcDeliveryTime;S_BelegParam.uCI_Nullmenge;S_BelegParam.ZUGFeRDFormat
0;;;0;1;;;0;0;0;2;1;no;no;no;no;;;;;;;;;;;no;;0;;yes;no;no;no;3;no;
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Kunde/Lieferant;Customer/Supplier;S_BelegParam.Konto;INTEGER;zzzzzzzz;
2;Belegart;Document Type;S_BelegParam.Belegart;CHARACTER;x(3);
3;c_XXXkontenart;;;;;
4;Formularnummer;Form Number;BG_FKopf.FormularNr;INTEGER;z9;
5;Anzahl Formulare;Number of Forms;S_BelegParam.FormularAnzahl;INTEGER;9;
6;Auftragsart;Order Category;S_Auftragsart.Auftragsart;CHARACTER;x(2);
7;Verteilergruppe;Work Group;BBM_WflWorkGroup.BBM_WflWorkGroup_id;CHARACTER;x(6);
8;Gültigkeitsdauer;Validity Period;S_BelegParam.Gueltigkeitsdauer;INTEGER;zzz9;
9;FormularNr LAB;Form Number Release;V_BelegKopf.FormularNrAbruf;INTEGER;z9;
10;FormularNr LT;Form# CC;V_BelegKopf.FormularNrLT;INTEGER;z9;
11;Abrufverfahren;Release Method;S_BelegParam.Abrufverfahren;INTEGER;z9;
12;Transitberechnung;Transit Calculation;S_BelegParam.CalculationTransit;INTEGER;z9;
13;EDI-Lieferschein;EDI Shipping Document;S_BelegParam.DFULieferschein;LOGICAL;ja/nein;
14;EDI-Rechnung;EDI Invoice;S_BelegParam.DFURechnung;LOGICAL;ja/nein;
15;Gutschriftanzeige;Self-Billed Invoice;S_BelegParam.DFUGutschriftenanzeige;LOGICAL;ja/nein;
16;LE auffüllen;Fill Load Unit;S_BelegParam.FillUpTU;LOGICAL;ja/nein;
17;Kopftext1;Header Text1;S_BelegParam.Kopftext;CHARACTER;x(60);
18;Kopftext2;Header Text2;S_BelegParam.Kopftext;CHARACTER;x(60);
19;Kopftext3;Header Text3;S_BelegParam.Kopftext;CHARACTER;x(60);
20;Kopftext4;Header Text4;S_BelegParam.Kopftext;CHARACTER;x(60);
21;Bemerkung1;Remark1;S_BelegParam.Bemerkung;CHARACTER;x(60);
22;Bemerkung2;Remark2;S_BelegParam.Bemerkung;CHARACTER;x(60);
23;Bemerkung3;Remark3;S_BelegParam.Bemerkung;CHARACTER;x(60);
24;Profitcenter;Profit Center;SBM_ProfitCenter.SBM_ProfitCenter_ID;CHARACTER;x(20);
25;Ausgabeprozess;Output Procedure ID;SBM_DeliveryConf.SBM_DeliveryConf_ID;CHARACTER;x(20);
26;E-Mail-Vorlage;E-Mail Template;S_BelegParam.TemplateID;CHARACTER;x(32);
27;Formular MKBL;Form MKBL;S_BelegParam.FormMKBL;LOGICAL;ja/nein;
28;Steuerregister;Tax Register;S_BelegParam.I_TaxRegisterKey;CHARACTER;x(10);
29;Dokumententyp;Document Type;S_BelegParam.I_DocumentType;INTEGER;z9;
30;Journal;Journal;S_F_Journal.S_F_Journal_ID;CHARACTER;x(10);
31;Lieferstatus;Delivery Status;S_BelegParam.uCA_Lieferstatus;LOGICAL;ja/nein;
32;Grund-/MindestMng;Respect Order Multiple / Minimum Qty for all Quantity Keys;S_BelegParam.uCA_RegardOrderMultiple;LOGICAL;ja/nein;
33;PM vereinzeln;Separate Packaging Material;S_BelegParam.uCA_SingularizePackaging;LOGICAL;ja/nein;
34;AbrTerme übern;Allow Release Schedules Before Release Date;S_BelegParam.uCA_ReleaseLinesPast;LOGICAL;ja/nein;
35;Lieferzeitfenster;Calculation Delivery Time Release;S_BelegParam.UCI_CalcDeliveryTime;INTEGER;9;
36;KommVorschl o Best;Zero Quantity;S_BelegParam.uCI_Nullmenge;LOGICAL;ja/nein;
37;ZUGFeRD-Format;ZUGFeRD Format of Output;S_BelegParam.ZUGFeRDFormat;CHARACTER;X(5);
