# Uppercase letter characters (mixed case set)

0xC0	0x2500	#BOX DRAWINGS LIGHT HORIZONTAL
0xC1	0x0041	#LATIN CAPITAL LETTER A
0xC2	0x0042	#LATIN CAPITAL LETTER B
0xC3	0x0043	#LATIN CAPITAL LETTER C
0xC4	0x0044	#LATIN CAPITAL LETTER D
0xC5	0x0045	#LATIN CAPITAL LETTER E
0xC6	0x0046	#LATIN CAPITAL LETTER F
0xC7	0x0047	#LATIN CAPITAL LETTER G
0xC8	0x0048	#LATIN CAPITAL LETTER H
0xC9	0x0049	#LATIN CAPITAL LETTER I
0xCA	0x004A	#LATIN CAPITAL LETTER J
0xCB	0x004B	#LATIN CAPITAL LETTER K
0xCC	0x004C	#LATIN CAPITAL LETTER L
0xCD	0x004D	#LATIN CAPITAL LETTER M
0xCE	0x004E	#LATIN CAPITAL LETTER N
0xCF	0x004F	#LATIN CAPITAL LETTER O
0xD0	0x0050	#LATIN CAPITAL LETTER P
0xD1	0x0051	#LATIN CAPITAL LETTER Q
0xD2	0x0052	#LATIN CAPITAL LETTER R
0xD3	0x0053	#LATIN CAPITAL LETTER S
0xD4	0x0054	#LATIN CAPITAL LETTER T
0xD5	0x0055	#LATIN CAPITAL LETTER U
0xD6	0x0056	#LATIN CAPITAL LETTER V
0xD7	0x0057	#LATIN CAPITAL LETTER W
0xD8	0x0058	#LATIN CAPITAL LETTER X
0xD9	0x0059	#LATIN CAPITAL LETTER Y
0xDA	0x005A	#LATIN CAPITAL LETTER Z
0xDB	0x253C	#BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0xDC	0x1FB8C	#LEFT HALF MEDIUM SHADE
0xDD	0x2502	#BOX DRAWINGS LIGHT VERTICAL
0xDE	0x1FB95	#CHECKER BOARD FILL
0xDF	0x1FB98	#UPPER LEFT TO LOWER RIGHT FILL
