E_BelegKopf.BelegNummer;E_BelegKopf.Lieferant;E_BelegKopf.BelegDatum;E_BelegKopf.AuftragsArt;E_BelegKopf.VersandArt;E_BelegKopf.LieferBedingung;E_BelegKopf.VerteilerGruppe;E_BelegKopf.Waehrung;E_BelegKopf.Preisgueltigkeit;E_BelegKopf.Wunschtermin;E_BelegKopf.LagerOrt;S_KostenStelle.Kostenstelle;S_KoTraeger.KostenTraeger;E_BelegKopf.Sachbearbeiter;E_BelegKopf.Empfaenger;E_BelegKopf.BelegInfo;E_BelegKopf.Lieferhinweis;E_BelegKopf.ZahlungsZiel;E_BelegKopf.ZahlungsArt;E_BelegKopf.FormularNr;E_BelegKopf.FormularAnzahl;E_BelegKopf.Kopftext1;E_BelegKopf.Kopftext2;E_BelegKopf.Kopftext3;E_BelegKopf.Kopftext4;E_BelegKopf.Bemerkung1;E_BelegKopf.Bemerkung2;E_BelegKopf.Bemerkung3;S_BestellAdresse.BestellAdresse;S_FirmenRechAdr.FirmenRechnungsAdresse;S_AnliefAdr.AnlieferAdresse;E_BelegKopf.SBPruefung;E_BelegKopf.Pruefungsdatum;E_BelegKopf.Wiedervorlage;E_BelegKopf.AdviceOfCredit;E_BelegKopf.Steuerdatum;E_BelegKopf.UebertrHinweis;E_BelegKopf.SBM_ProfitCenter_ID;E_BelegKopf.Konto;E_BelegKopf.H_IntraDate;E_BelegKopf.uCI_DocClosing
0;0;today;;0;0;;0;today;today;?;0;;;;;;0;0;0;1;;;;;;;;0;0;0;;?;?;no;?;no;;0;today;no
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Belegnummer;Document Number;E_BelegKopf.BelegNummer;INTEGER;zzzzzzz9;
2;Lieferant;Supplier;E_BelegKopf.Lieferant;INTEGER;zzzzzzzz;
3;Belegdatum;Document Date;E_BelegKopf.BelegDatum;DATE;99.99.9999;
4;Auftragsart;Order Category;E_BelegKopf.AuftragsArt;CHARACTER;x(2);
5;Versandart;Shipping Type;E_BelegKopf.VersandArt;INTEGER;zz9;
6;Lieferbedingung;Terms of Delivery;E_BelegKopf.LieferBedingung;INTEGER;zz9;
7;Verteilergruppe;Work Group;E_BelegKopf.VerteilerGruppe;CHARACTER;x(6);
8;Währung;Currency;E_BelegKopf.Waehrung;INTEGER;zz9;
9;Preisgültigkeit;Price Validity;E_BelegKopf.Preisgueltigkeit;DATE;99.99.9999;
10;Wunschtermin;Requested Date;E_BelegKopf.Wunschtermin;DATE;99.99.9999;
11;Lagerort;Storage Area;E_BelegKopf.LagerOrt;INTEGER;zzzzzzz9;
12;Kostenstelle;Cost Center;S_KostenStelle.Kostenstelle;INTEGER;zzzzzzz9;
13;Kostenträger;Cost Object;S_KoTraeger.KostenTraeger;CHARACTER;x(20);
14;Sachbearbeiter;Specialist;E_BelegKopf.Sachbearbeiter;CHARACTER;x(12);
15;Empfänger;Recipient;E_BelegKopf.Empfaenger;CHARACTER;x(120);
16;Bestellung;Purchase Order;E_BelegKopf.BelegInfo;CHARACTER;x(40);
17;Lieferhinweis;Shipping Instructions;E_BelegKopf.Lieferhinweis;CHARACTER;x(40);
18;Zahlungsziel;Credit Terms;E_BelegKopf.ZahlungsZiel;INTEGER;zz9;
19;Zahlungsart;Payment Method;E_BelegKopf.ZahlungsArt;INTEGER;z9;
20;Formularnummer;Form Number;E_BelegKopf.FormularNr;INTEGER;z9;
21;Anzahl Formulare;Number of Forms;E_BelegKopf.FormularAnzahl;INTEGER;9;
22;Kopftext1;Header Text1;E_BelegKopf.Kopftext;CHARACTER;x(60);
23;Kopftext2;Header Text2;E_BelegKopf.Kopftext;CHARACTER;x(60);
24;Kopftext3;Header Text3;E_BelegKopf.Kopftext;CHARACTER;x(60);
25;Kopftext4;Header Text4;E_BelegKopf.Kopftext;CHARACTER;x(60);
26;Bemerkung1;Remark1;E_BelegKopf.Bemerkung;CHARACTER;x(60);
27;Bemerkung2;Remark2;E_BelegKopf.Bemerkung;CHARACTER;x(60);
28;Bemerkung3;Remark3;E_BelegKopf.Bemerkung;CHARACTER;x(60);
29;Bestelladresse;Order-From Address;S_BestellAdresse.BestellAdresse;INTEGER;zz9;
30;Rechnungsadresse;Bill-To Address;S_FirmenRechAdr.FirmenRechnungsAdresse;INTEGER;zz9;
31;Anlieferadresse;Ship-To Address;S_AnliefAdr.AnlieferAdresse;INTEGER;zz9;
32;geprüft durch;Specialist Check;E_BelegKopf.SBPruefung;CHARACTER;x(12);
33;Prüfdatum;Check Date;E_BelegKopf.Pruefungsdatum;DATE;99.99.9999;
34;Wiedervorlage;ToDo;E_BelegKopf.Wiedervorlage;DATE;99.99.9999;
35;Gutschriftanzeige;Self-Billed Invoice;E_BelegKopf.AdviceOfCredit;LOGICAL;ja/nein;
36;Steuerdatum;Tax Date;E_BelegKopf.Steuerdatum;DATE;99.99.9999;
37;ÜbertragungsHi;Transfer Reference;E_BelegKopf.UebertrHinweis;LOGICAL;ja/nein;
38;Profitcenter;Profit Center;E_BelegKopf.SBM_ProfitCenter_ID;CHARACTER;x(20);
39;Packmittelpool;Packaging Pool;E_BelegKopf.Konto;INTEGER;zzzzzzzz;
40;Intradatum;Intra Date;E_BelegKopf.H_IntraDate;DATE;99.99.9999;
41;Belegabschluss;Document Closing;E_BelegKopf.uCI_DocClosing;LOGICAL;ja/nein;
