V_BELEGKOPF.Belegnummer;V_BELEGKOPF.kunde;V_BELEGKOPF.belegdatum;V_BelegKopf.SBM_ProfitCenter_ID;V_BELEGKOPF.auftragsart;V_BELEGKOPF.verteilergruppe;V_BELEGKOPF.lagerort;V_BelegKopf.Lagergruppe;V_BELEGKOPF.sachbearbeiter;S_KoTraeger.KostenTraeger;V_BELEGKOPF.preisgueltigkeit;V_BELEGKOPF.wunschtermin;V_BELEGKOPF.liefertermin;V_BELEGKOPF.sprache;V_BELEGKOPF.waehrung;V_BelegKopf.MMM_CusRefOrder_ID;JBT_Project.Projekt;V_BELEGKOPF.lieferbedingung;V_BELEGKOPF.lieferrestrikt;V_BELEGKOPF.transportzeit;V_BELEGKOPF.zeiteinheit;V_BELEGKOPF.versandart;V_BELEGKOPF.preisgruppe;V_BELEGKOPF.rabattgruppe;V_BELEGKOPF.empfaenger;V_BELEGKOPF.wiedervorlage;V_BELEGKOPF.beleginfo;V_BELEGKOPF.bestelldatum;V_BELEGKOPF.lieferhinweis;SBM_BusinessCategory.SBM_BusinessCategory_ID;V_BELEGKOPF.valutadatum;V_BELEGKOPF.valutatage;V_BELEGKOPF.zahlungsziel;V_BELEGKOPF.zahlungsart;sbm_bankdataacc.bankdatacounter;V_BELEGKOPF.zuschlbez1;V_BELEGKOPF.zuschlbez2;V_BELEGKOPF.zuschlbez3;V_BELEGKOPF.zuschlbez4;V_BELEGKOPF.zuschlbez5;V_BELEGKOPF.zuschlag1;V_BELEGKOPF.zuschlag2;V_BELEGKOPF.zuschlag3;V_BELEGKOPF.zuschlag4;V_BELEGKOPF.proz_zuschlag;V_BELEGKOPF.Zuschlag_skontofaehig;V_BelegKopf.Fracht_skontofaehig;V_BELEGKOPF.formularnr;V_BELEGKOPF.formularanzahl;V_BelegKopf.Lieferant;V_BelegKopf.TransportPartnerID;V_BelegKopf.Carrier;V_BelegKopf.LorryType;V_BelegKopf.MeansOfTransport;V_BelegKopf.MeansOfTransportNo;V_BELEGKOPF.kopftext1;V_BELEGKOPF.kopftext2;V_BELEGKOPF.kopftext3;V_BELEGKOPF.kopftext4;V_BELEGKOPF.bemerkung1;V_BELEGKOPF.bemerkung2;V_BELEGKOPF.bemerkung3;S_LIEFERADRESSE.Lieferadresse;S_RECHNUNGSADRESSE.RechnungsAdresse;V_BELEGKOPF.Gueltig_Bis;V_BELEGKOPF.Offen;V_BelegKopf.UebertrHinweis;V_BelegKopf.Konfiguration;V_BelegKopf.BelegGeprueft;V_BelegKopf.Konzern;V_BelegKopf.Verband;V_BelegKopf.RabattArt;V_BelegKopf.steuerfrei;V_BelegKopf.steuerfrei_Ausnahme;V_BelegKopf.TaxID;V_BelegKopf.Lieferzeit;V_BelegKopf.Lieferzeit_Einheit;V_BelegKopf.I_BolloAmount;V_BelegKopf.I_VirtualBollo;V_BelegKopf.I_DocumentType;V_BelegKopf.I_PaymentMode;V_BelegKopf.I_TaxDelayed;V_BelegKopf.I_TaxPrepaid;V_BelegKopf.F_EcoTax;V_BelegKopf.USTax_AddRules4;V_BelegKopf.USTax_AddRules5;V_BelegKopf.USTax_AddRules6;V_BelegKopf.USTax_AddRules1;V_BelegKopf.USTax_AddRules2;V_BelegKopf.USTax_AddRules3;V_BelegKopf.USTax_FreightExempt4;V_BelegKopf.USTax_FreightExempt5;V_BelegKopf.USTax_FreightExempt6;V_BelegKopf.USTax_FreightExempt1;V_BelegKopf.USTax_FreightExempt2;V_BelegKopf.USTax_FreightExempt3;V_BelegKopf.USTax_Nexus;V_BelegKopf.USTax_SurchargeTaxable4;V_BelegKopf.USTax_SurchargeTaxable5;V_BelegKopf.USTax_SurchargeTaxable1;V_BelegKopf.USTax_SurchargeTaxable2;V_BelegKopf.USTax_SurchargeTaxable3;V_BelegKopf.USTax_TaxAmount4;V_BelegKopf.USTax_TaxAmount5;V_BelegKopf.USTax_TaxAmount6;V_BelegKopf.USTax_TaxAmount7;V_BelegKopf.USTax_TaxAmount8;V_BelegKopf.USTax_TaxAmount9;V_BelegKopf.USTax_TaxAmount10;V_BelegKopf.USTax_TaxAmount11;V_BelegKopf.USTax_TaxAmount1;V_BelegKopf.USTax_TaxAmount2;V_BelegKopf.USTax_TaxAmount3;V_BelegKopf.USTax_TaxCategory;V_BelegKopf.USTax_TaxRate4;V_BelegKopf.USTax_TaxRate5;V_BelegKopf.USTax_TaxRate6;V_BelegKopf.USTax_TaxRate1;V_BelegKopf.USTax_TaxRate2;V_BelegKopf.USTax_TaxRate3;c_DeliveryTime;V_BelegKopf.uCI_Sammellieferschein;V_BelegKopf.uCE_AdoptPricesFromBOPos;V_BelegKopf.uCW_Transportvermerk;V_BelegKopf.uCW_TRestriktion
0;0;today;;;;?;0;;;today;today;?;D;0;;;0;0;0;4;0;;;;?;;?;;11;?;0;0;0;0;;;;;;0;0;0;0;0;no;no;0;1;0;;;0;0;;;;;;;;;0;0;?;yes;no;no;no;0;0;yes;no;no;;0;yes;0;yes;0;0;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;no;0;;0
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Belegnummer;Document Number;V_BELEGKOPF.Belegnummer;INTEGER;zzzzzzz9;
2;Kunde;Customer;V_BELEGKOPF.kunde;INTEGER;zzzzzzzz;
3;Belegdatum;Document Date;V_BELEGKOPF.belegdatum;DATE;99.99.9999;
4;Profitcenter;Profit Center;V_BelegKopf.SBM_ProfitCenter_ID;CHARACTER;x(20);
5;Auftragsart;Order Category;V_BELEGKOPF.auftragsart;CHARACTER;x(2);
6;Verteilergruppe;Work Group;V_BELEGKOPF.verteilergruppe;CHARACTER;x(6);
7;Lagerort;Storage Area;V_BELEGKOPF.lagerort;INTEGER;zzzzzzz9;
8;Dispobereich;MRP Area;V_BelegKopf.Lagergruppe;INTEGER;zzzzzzz9;
9;Sachbearbeiter;Specialist;V_BELEGKOPF.sachbearbeiter;CHARACTER;x(12);
10;Kostenträger;Cost Object;S_KoTraeger.KostenTraeger;CHARACTER;x(20);
11;Preisgültigkeit;Price Validity;V_BELEGKOPF.preisgueltigkeit;DATE;99.99.9999;
12;Wunschtermin;Requested Date;V_BELEGKOPF.wunschtermin;DATE;99.99.9999;
13;Liefertermin;Delivery Date;V_BELEGKOPF.liefertermin;DATE;99.99.9999;
14;Sprache;Language;V_BELEGKOPF.sprache;CHARACTER;x(3);
15;Währung;Currency;V_BELEGKOPF.waehrung;INTEGER;zz9;
16;Kommissionsnummer;CRO Number;V_BelegKopf.MMM_CusRefOrder_ID;CHARACTER;x(16);
17;Projekt;Project;JBT_Project.Projekt;CHARACTER;x(20);
18;Lieferbedingung;Terms of Delivery;V_BELEGKOPF.lieferbedingung;INTEGER;zz9;
19;Lieferrestriktion;Delivery Restriction;V_BELEGKOPF.lieferrestrikt;INTEGER;z9;
20;Transportzeit;Transport Time;V_BELEGKOPF.transportzeit;INTEGER;zzzzz9;
21;Zeiteinheit tt;Time Unit;V_BELEGKOPF.zeiteinheit;CHARACTER;9;
22;Versandart;Shipping Type;V_BELEGKOPF.versandart;INTEGER;zz9;
23;Preisliste;Price Group;V_BELEGKOPF.preisgruppe;CHARACTER;x(6);
24;Rabattgruppe;Discount Group;V_BELEGKOPF.rabattgruppe;CHARACTER;x(6);
25;Empfänger;Recipient;V_BELEGKOPF.empfaenger;CHARACTER;x(120);
26;Wiedervorlage;ToDo;V_BELEGKOPF.wiedervorlage;DATE;99.99.9999;
27;Bestellung;Purchase Order;V_BELEGKOPF.beleginfo;CHARACTER;x(40);
28;Bestelldatum;Purchase Order Date;V_BELEGKOPF.bestelldatum;DATE;99.99.9999;
29;Lieferhinweis;Shipping Instructions;V_BELEGKOPF.lieferhinweis;CHARACTER;x(40);
30;Geschäftsart;Key Business Category Intrastat;SBM_BusinessCategory.SBM_BusinessCategory_ID;INTEGER;99;
31;Valutadatum;Value Date;V_BELEGKOPF.valutadatum;DATE;99.99.9999;
32;Valutatage;Value Days;V_BELEGKOPF.valutatage;INTEGER;zz9;
33;Zahlungsziel;Credit Terms;V_BELEGKOPF.zahlungsziel;INTEGER;zz9;
34;Zahlungsart;Payment Method;V_BELEGKOPF.zahlungsart;INTEGER;z9;
35;Bankverb Konto;Counter;sbm_bankdataacc.bankdatacounter;INTEGER;zz9;
36;Bez Zuschlag1;Description Surcharge1;V_BELEGKOPF.zuschlbez;CHARACTER;x(20);
37;Bez Zuschlag2;Description Surcharge2;V_BELEGKOPF.zuschlbez;CHARACTER;x(20);
38;Bez Zuschlag3;Description Surcharge3;V_BELEGKOPF.zuschlbez;CHARACTER;x(20);
39;Bez Zuschlag4;Description Surcharge4;V_BELEGKOPF.zuschlbez;CHARACTER;x(20);
40;Bez Zuschlag5;Description Surcharge5;V_BELEGKOPF.zuschlbez;CHARACTER;x(20);
41;Zuschlag1;Surcharge1;V_BELEGKOPF.zuschlag;DECIMAL;zzz,zz9.99-;
42;Zuschlag2;Surcharge2;V_BELEGKOPF.zuschlag;DECIMAL;zzz,zz9.99-;
43;Zuschlag3;Surcharge3;V_BELEGKOPF.zuschlag;DECIMAL;zzz,zz9.99-;
44;Zuschlag4;Surcharge4;V_BELEGKOPF.zuschlag;DECIMAL;zzz,zz9.99-;
45;% Zuschlag;Percentage Discount/Surcharge;V_BELEGKOPF.proz_zuschlag;DECIMAL;-z9.99%;
46;Zuschlag Skonto;Surch Cash Discountb;V_BELEGKOPF.Zuschlag_skontofaehig;LOGICAL;ja/nein;
47;Fracht skontofähig;Freight Cash Discountable;V_BelegKopf.Fracht_skontofaehig;LOGICAL;ja/nein;
48;Formularnummer;Form Number;V_BELEGKOPF.formularnr;INTEGER;z9;
49;Anzahl Formulare;Number of Forms;V_BELEGKOPF.formularanzahl;INTEGER;9;
50;Lieferant;Supplier;V_BelegKopf.Lieferant;INTEGER;zzzzzzzz;
51;Transportpartner;Transport Partner Number;V_BelegKopf.TransportPartnerID;CHARACTER;x(20);
52;Frachtführername;Carrier Name;V_BelegKopf.Carrier;CHARACTER;x(80);
53;LKW-Art;Truck Type;V_BelegKopf.LorryType;INTEGER;z9;
54;Transportmittel;Means of Transport;V_BelegKopf.MeansOfTransport;INTEGER;z9;
55;TransportmittelNr;Means of Transport Number;V_BelegKopf.MeansOfTransportNo;CHARACTER;x(25);
