FS_Buchung.BuchungsJahr;FS_Buchung.BuchungsPeriode;FS_Buchung.BelegNummer;FS_Buchung.BelegDatum;FS_Buchung.Konto;FS_Buchung.SH_Kennung;FS_Buchung.Betrag;FS_Buchung.FW_Betrag;FS_Buchung.Waehrung;c_XXXsteuerfindungauto;SBM_TaxTerritory.SBM_TaxTerritory_ID;FS_BuchInfo.Steuer;FS_BuchInfo.Konto;c_XXXgkkundeinl;c_XXXgkkundeeu;c_XXXgkkundedritt;c_XXXgklieferantinl;c_XXXgklieferanteu;c_XXXgklieferantdritt;FS_OP.ZahlungsArt;FS_OP.Zahlungsziel;FS_OP.ValutaDatum;c_XXXvalutatage;FS_ZahlZiel.SkontoDatum1;c_XXXskontotage1;FS_ZahlZiel.SkontoSatz1;FS_ZahlZiel.SkontoDatum2;c_XXXskontotage2;FS_ZahlZiel.SkontoSatz2;FS_ZahlZiel.NettoDatum;c_XXXnettotage;FS_ZahlZiel.MahnDatum;c_XXXmahnfaehigabtage;FS_ZahlZiel.ZahlSperre;FS_ZahlZiel.MahnSperre;FS_Buchung.FremdBeleg;FS_Buchung.BuchungsText;FS_BuchInfo.BuchungsText;FS_OP.Bemerkung1;FS_OP.Bemerkung2;FS_Kopf.Benutzer;S_UStID.UStID;c_XXXUStIDauto;FS_OP.SBM_TaxCase_ID;FS_ZahlZiel.Mahnstufe;FS_ZahlZiel.letzte_Mahnung;FS_ZahlZiel.lzMStfErhoehung;FS_OP.RemittanceAddInfo;FS_OP.RemittanceAmount;FS_OP.RemittanceReference;FS_OP.RemittanceRefType;FS_Buchung.F_DiscountOnTax;FS_Buchung.F_SpecialAccount;S_F_Journal.S_F_Journal_ID;FS_Buchung.H_CashFlowPrinciple;FS_Buchung.H_InvoiceType;FS_Buchung.H_PettyCashNo;FS_Buchung.H_TaxDate;FS_Buchung.H_TaxPeriod;FS_Buchung.H_TaxYear;FS_BuchInfo.H_TaxBaseEval;FS_BuchInfo.H_TaxEval;FS_Buchung.I_DocumentType;FS_Buchung.I_TaxDelayed;FS_Buchung.I_TaxPrepaid;FS_Buchung.I_TaxRegisterKey;FS_Buchung.I_TaxRegisterKeyDocNo;FS_OP.I_ChargesExempt;FS_OP.I_ChargesLiable;FS_OP.I_ContributiAmount;FS_OP.I_Deduction;FS_OP.I_EnasarcoAmount;FS_OP.I_PrePaymentAmount;FS_OP.I_PrePaymentBase;FS_OP.I_PrePaymentRate;FS_OP.I_PrePaymentType;SBM_I_Contract.SBM_I_Contract_ID;FS_OP.P_SplitPayment;FS_Buchung.P_Belegnummer;FS_Buchung.P_CashFlowPrinciple;FS_Buchung.P_ExchangeRate;FS_Buchung.P_ExchangeRateFactor;FS_Buchung.P_PostPeriodDate;FS_Buchung.P_PostPeriodExRateDate;FS_Buchung.P_Steuerregister;FS_Buchung.P_TaxID4JPK;FS_Buchung.P_TaxPeriodDate;FS_Buchung.P_TaxPeriodExRateDate;FS_BuchInfo.P_BaseAmount;FS_BuchInfo.P_TaxKey;FS_Buchung.P_InvoiceReceipt
0;0;0;?;0;yes;0;0;0;;;?;0;;;;;;;99;?;?;;?;;0;?;;0;today;;today;;no;no;;;;;;;;;?;0;?;?;;0;;;yes;0;;no;0;?;today;0;0;0;0;0;no;no;;;0;0;0;0;0;0;0;0;;;no;0;no;1;1;?;?;;;?;?;0;?;?
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Geschäftsjahr;Fiscal Year;FS_Buchung.BuchungsJahr;DECIMAL;9999;
2;Buchungsperiode;Posting Period;FS_Buchung.BuchungsPeriode;INTEGER;99;
3;Belegnummer;Document Number;FS_Buchung.BelegNummer;DECIMAL;zzzzzzzz;
4;Belegdatum;Document Date;FS_Buchung.BelegDatum;DATE;99.99.9999;
5;Konto;Account;FS_Buchung.Konto;INTEGER;zzzzzzzz;
6;Soll/Haben;Debit/Credit;FS_Buchung.SH_Kennung;LOGICAL;S/H;
7;Amount DC;Amount in Domestic Currency;FS_Buchung.Betrag;DECIMAL;zzz,zzz,zz9.99-;
8;Amount FC;Amount in Foreign Currency;FS_Buchung.FW_Betrag;DECIMAL;zzz,zzz,zz9.99-;
9;Währung;Currency;FS_Buchung.Waehrung;INTEGER;zz9;
10;SteuerFindungAuto;;;;;
11;Steuergebiet;Tax Territory;SBM_TaxTerritory.SBM_TaxTerritory_ID;CHARACTER;x(10);
12;Steuerschlüssel;Tax;FS_BuchInfo.Steuer;INTEGER;zz9;
13;Gegenkonto;Account;FS_BuchInfo.Konto;INTEGER;zzzzzzzz;
14;GKKundeINL;;;;;
15;GKKundeEU;;;;;
16;GKKundeDRITT;;;;;
17;GKLieferantINL;;;;;
18;GKLieferantEU;;;;;
19;GKLieferantDRIT;;;;;
20;Zahlungsart;Payment Method;FS_OP.ZahlungsArt;INTEGER;z9;
21;Zahlungsziel;Credit Terms;FS_OP.Zahlungsziel;INTEGER;zz9;
22;Valutadatum;Value Date;FS_OP.ValutaDatum;DATE;99.99.9999;
23;Value Days;;;;;
24;Skonto fällig;Cash Discount 1 Due;FS_ZahlZiel.SkontoDatum1;DATE;99.99.9999;
25;Cash Discount Days 1;;;;;
26;% Skontosatz;Cash Discount Rate 1;FS_ZahlZiel.SkontoSatz1;DECIMAL;-z9.99%;
27;Skonto2 fällig;Cash Discount 2 Due;FS_ZahlZiel.SkontoDatum2;DATE;99.99.9999;
28;Cash Discount Days 2;;;;;
29;% Skontosatz 2;Cash Discount Rate 2;FS_ZahlZiel.SkontoSatz2;DECIMAL;-z9.99%;
30;nettofällig;Net Due;FS_ZahlZiel.NettoDatum;DATE;99.99.9999;
31;Net Days;;;;;
32;mahnfällig;Dunning Date;FS_ZahlZiel.MahnDatum;DATE;99.99.9999;
33;Dunnable from Days;;;;;
34;Zahlsperre;Payment Hold;FS_ZahlZiel.ZahlSperre;LOGICAL;ja/nein;
35;Mahnsperre;Dunning Block;FS_ZahlZiel.MahnSperre;LOGICAL;ja/nein;
36;Fremdbeleg;External Document;FS_Buchung.FremdBeleg;CHARACTER;x(35);
37;Buchungstext;Posting Text;FS_Buchung.BuchungsText;CHARACTER;x(40);
38;Buchungstext Gegenbuchung;Posting Text;FS_BuchInfo.BuchungsText;CHARACTER;x(40);
39;Bemerkung1;Remark1;FS_OP.Bemerkung;CHARACTER;x(40);
40;Bemerkung2;Remark2;FS_OP.Bemerkung;CHARACTER;x(40);
41;Benutzer;Users;FS_Kopf.Benutzer;CHARACTER;x(12);
42;Umsatzsteuer-ID;Sales Tax Identification Number;S_UStID.UStID;CHARACTER;x(19);
43;Automatically Determine Sales Tax Identification Numbers;;;;;
44;Steuerfall;Tax Case;FS_OP.SBM_TaxCase_ID;INTEGER;zz9;
45;Mahnstufe;Dunning Level;FS_ZahlZiel.Mahnstufe;INTEGER;z;
