"prog" "sire"
10001 1
10002 1
10003 1
10004 1
10005 1
10006 1
10007 1
10008 1
10009 1
10010 1
10011 1
10012 1
10013 1
10014 1
10015 1
10016 1
10017 1
10018 1
10019 1
10020 1
10021 1
10022 1
10023 1
10024 1
10025 1
10026 1
10027 1
10028 1
10029 1
10030 1
10031 1
10032 1
10033 1
10034 1
10035 1
10036 1
10037 1
10038 1
10039 1
10040 1
10041 1
10042 1
10043 1
10044 1
10045 1
10046 1
10047 1
10048 1
10049 1
10050 2
10051 2
10052 2
10053 2
10054 2
10055 2
10056 2
10057 2
10058 2
10059 2
10060 2
10061 2
10062 2
10063 2
10064 2
10065 2
10066 2
10067 2
10068 2
10069 2
10070 2
10071 2
10072 2
10073 2
10074 2
10075 2
10076 2
10077 2
10078 2
10079 2
10080 2
10081 2
10082 2
10083 2
10084 2
10085 2
10086 2
10087 2
10088 2
10089 2
10090 2
10091 2
10092 2
10093 2
10094 2
10095 2
10096 3
10097 3
10098 3
10099 3
10100 3
10101 3
10102 3
10103 3
10104 3
10105 3
10106 3
10107 3
10108 3
10109 3
10110 3
10111 3
10112 3
10113 3
10114 3
10115 3
10116 3
10117 3
10118 3
10119 3
10120 3
10121 3
10122 3
10123 3
10124 3
10125 3
10126 3
10127 3
10128 4
10129 4
10130 4
10131 4
10132 4
10133 4
10134 4
10135 4
10136 4
10137 4
10138 4
10139 4
10140 4
10141 4
10142 4
10143 4
10144 4
10145 4
10146 4
10147 4
10148 4
10149 4
10150 4
10151 4
10152 4
10153 4
10154 4
10155 4
10156 4
10157 4
10158 4
10159 4
10160 4
10161 4
10162 4
10163 4
10164 4
10165 4
10166 4
10167 4
10168 4
10169 4
10170 4
10171 4
10172 4
10173 4
10174 4
10175 4
10176 4
10177 4
10178 4
10179 4
10180 4
10181 4
10182 4
10183 4
10184 4
10185 4
10186 4
10187 4
10188 4
10189 4
10190 4
10191 4
10192 4
10193 4
10194 4
10195 4
10196 4
10197 4
10198 4
10199 4
10200 4
10201 4
10202 4
10203 4
10204 4
10205 4
10206 4
10207 4
10208 4
10209 4
10210 4
10211 4
10212 4
10213 4
10214 4
10215 4
10216 4
10217 4
10218 4
10219 4
10220 4
10221 4
10222 4
10223 4
10224 4
10225 4
10226 4
10227 4
10228 4
10229 4
10230 4
10231 4
10232 4
10233 4
10234 5
10235 5
10236 5
10237 5
10238 5
10239 5
10240 5
10241 5
10242 5
10243 5
10244 5
10245 5
10246 5
10247 5
10248 5
10249 5
10250 5
10251 5
10252 5
10253 5
10254 5
10255 5
10256 5
10257 5
10258 5
10259 5
10260 5
10261 5
10262 5
10263 5
10264 5
10265 5
