# Peakbagging performed by SNB with apollinaire (v0.13) 
# File creation date: 21/06/2021 12:19:27
# https://apollinaire.readthedocs.io/en/latest 
# Indicated splittings are projected splittings nu* = nu sin a 
# ######################
# Settings:
# nwalkers=500
# nsteps=200
# discarded_steps=100
# fit_ampFalse
# #######################
# Parameters: n, l, nu, e_nu-, e_nu+, h, e_h-, e_h+, w, e_w-, e_w+, a, e_a-, e_a+, s, e_s-, e_s+, asym, e_asym-, e_asym+
#             ., ., muHz, muHz, muHz, ppm^2/muHz, ppm^2/muHz, ppm^2/muHz, muHz, muHz, muHz, deg, deg, deg, muHz, muHz, muHz, ., ., . 
# 
15 2 1921.7307 0.4089 0.2668 1.7720 0.2404 0.3027 0.8626 0.1433 0.1408 45.7165 1.8778 2.8786 0.2175 0.0962 0.0897 0.0000 0.0000 0.0000
16 0 1928.3569 0.1079 0.0979 2.5314 0.3434 0.4324 0.8626 0.1433 0.1408 45.7165 1.8778 2.8786 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
15 3 1967.5477 0.9124 1.0622 0.5063 0.0687 0.0865 0.8626 0.1433 0.1408 45.7165 1.8778 2.8786 0.2175 0.0962 0.0897 0.0000 0.0000 0.0000
16 1 1978.7760 0.0625 0.0667 3.7971 0.5151 0.6486 0.8626 0.1433 0.1408 45.7165 1.8778 2.8786 0.2175 0.0962 0.0897 0.0000 0.0000 0.0000
16 2 2030.9962 0.1245 0.1196 2.8297 0.3187 0.3657 0.8823 0.0936 0.1080 45.3150 0.8941 1.0000 0.1675 0.0849 0.0795 0.0000 0.0000 0.0000
17 0 2037.0848 0.0701 0.0665 4.0424 0.4553 0.5224 0.8823 0.0936 0.1080 45.3150 0.8941 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
16 3 2077.8943 0.6377 1.4745 0.8085 0.0911 0.1045 0.8823 0.0936 0.1080 45.3150 0.8941 1.0000 0.1675 0.0849 0.0795 0.0000 0.0000 0.0000
17 1 2088.3027 0.0523 0.0526 6.0636 0.6829 0.7836 0.8823 0.0936 0.1080 45.3150 0.8941 1.0000 0.1675 0.0849 0.0795 0.0000 0.0000 0.0000
17 2 2141.0788 0.0584 0.0583 4.9517 0.4817 0.5948 0.8039 0.0727 0.0885 44.8365 0.5891 0.3954 0.0781 0.0465 0.0468 0.0000 0.0000 0.0000
18 0 2146.7772 0.0470 0.0484 7.0738 0.6882 0.8497 0.8039 0.0727 0.0885 44.8365 0.5891 0.3954 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
