E_BelegKopf.BelegNummer;E_BelegPos.PositionsNr;E_BelegPos.Artikel;E_BelegPos.Bezeichnung1;E_BelegPos.Bezeichnung2;E_BelegPos.Bezeichnung3;E_BelegPos.Bezeichnung4;E_BelegPos.LagerOrt;E_BelegPos.Menge;E_BelegPos.Gewicht;E_BelegPos.Wunschtermin;E_BelegPos.Liefertermin;E_BelegPos.Einzelpreis;E_BelegPos.Wert_RZ_1;E_BelegPos.Wert_RZ_2;E_BelegPos.proz_RZ_1;E_BelegPos.proz_RZ_2;E_BelegPos.proz_RZ_3;E_BelegPos.MMM_CusRefOrder_ID;E_BelegPos.KoAuftrag;E_BelegPos.Anlage;E_BelegPos.Wert_RZ_Art_1;E_BelegPos.Wert_RZ_Art_2;E_BelegPos.proz_RZ_Art_1;E_BelegPos.proz_RZ_Art_2;E_BelegPos.proz_RZ_Art_3;E_BelegPos.gelieferte_Menge;E_BelegPos.Warenwert;E_BelegPos.Warenwert_offen;E_BelegPos.Ausschussmenge;c_PackInstructAdopt;E_BelegPos.H_Lieferbedingung;E_BelegPos.H_Incoterm;E_BelegPos.uCI_MinimumShelfLife;E_BelegPos.uCI_ReqDeliveryDate;E_BelegPos.uCI_ArrivalDate;E_BelegPos.uCI_Lot;E_BelegPos.uCA_AddCosts;E_BelegPos.uCA_AddCosts_Type;E_BelegPos.uCA_OneOffCosts;E_BelegPos.uCA_OneOffCosts_Type;E_BelegPos.uCE_PONumber;S_KostenStelle.Kostenstelle;S_KoTraeger.KostenTraeger
0;1;;;;;;?;0;0;today;?;0;0;0;0;0;0;;no;;;;;;;0;0;0;0;;0;;0;?;?;;0;;0;;?;0;
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Belegnummer;Document Number;E_BelegKopf.BelegNummer;INTEGER;zzzzzzz9;
2;Position;Line;E_BelegPos.PositionsNr;DECIMAL;zz9.9;
3;Teil;Part;E_BelegPos.Artikel;CHARACTER;x(20);
4;Bezeichnung1;Additional Description1;E_BelegPos.Bezeichnung;CHARACTER;x(30);
5;Bezeichnung2;Additional Description2;E_BelegPos.Bezeichnung;CHARACTER;x(30);
6;Bezeichnung3;Additional Description3;E_BelegPos.Bezeichnung;CHARACTER;x(30);
7;Bezeichnung4;Additional Description4;E_BelegPos.Bezeichnung;CHARACTER;x(30);
8;Lagerort;Storage Area;E_BelegPos.LagerOrt;INTEGER;zzzzzzz9;
9;Menge;Quantity;E_BelegPos.Menge;DECIMAL;zzz,zzz,zz9.999;
10;Gewicht;Weight per Order Unit of Measure;E_BelegPos.Gewicht;DECIMAL;zzz,zz9.9999;
11;Wunschtermin;Requested Date;E_BelegPos.Wunschtermin;DATE;99.99.9999;
12;Liefertermin;Delivery Date;E_BelegPos.Liefertermin;DATE;99.99.9999;
13;Einzelpreis;Unit Price;E_BelegPos.Einzelpreis;DECIMAL;z,zzz,zz9.99;
14;wertm R/Z;Value Discount/Surcharge 1;E_BelegPos.Wert_RZ_1;DECIMAL;z,zzz,zz9.99-;
15;wertm R/Z 2;Value Discount/Surcharge 2;E_BelegPos.Wert_RZ_2;DECIMAL;z,zzz,zz9.99-;
16;% R/Z;Percentage Discount/Surcharge 1;E_BelegPos.proz_RZ_1;DECIMAL;-z9.99%;
17;% R/Z 2;Percentage Discount/Surcharge 2;E_BelegPos.proz_RZ_2;DECIMAL;-z9.99%;
18;% R/Z 3;Percentage Discount/Surcharge 3;E_BelegPos.proz_RZ_3;DECIMAL;-z9.99%;
19;Kommissionsnummer;CRO Number;E_BelegPos.MMM_CusRefOrder_ID;CHARACTER;x(16);
20;Bestückungsauftrag;Replenishment Order;E_BelegPos.KoAuftrag;LOGICAL;ja/nein;
21;Inventarnummer;Fixed Asset Number;E_BelegPos.Anlage;CHARACTER;x(20);
22;wm Rab-/ZuArt;Type of Value Discount/Surcharge 1;E_BelegPos.Wert_RZ_Art_1;CHARACTER;x(3);
23;wm Rab-/ZuArt 2;Type of Value Discount/Surcharge 2;E_BelegPos.Wert_RZ_Art_2;CHARACTER;x(3);
24;% Rab-/ZuArt;Type of Percentage Discount/Surcharge 1;E_BelegPos.proz_RZ_Art_1;CHARACTER;x(3);
25;% Rab-/ZuArt 2;Type of Percentage Discount/Surcharge 2;E_BelegPos.proz_RZ_Art_2;CHARACTER;x(3);
26;% Rab-/ZuArt 3;Type of Percentage Discount/Surcharge 3;E_BelegPos.proz_RZ_Art_3;CHARACTER;x(3);
27;gelieferte Menge;Quantity Delivered;E_BelegPos.gelieferte_Menge;DECIMAL;zzz,zzz,zz9.999;
28;Warenwert FW;Net Purchase;E_BelegPos.Warenwert;DECIMAL;zzz,zzz,zz9.99-;
29;Warenwert (o) FW;Net Purchase (Open);E_BelegPos.Warenwert_offen;DECIMAL;zzz,zzz,zz9.99-;
30;Ausschussmenge;Scrap Quantity;E_BelegPos.Ausschussmenge;DECIMAL;-zzz,zzz,zz9.999;
31;Adopt Packaging Instruction (If Available);;;;;
32;Lieferbedingung;Terms of Delivery;E_BelegPos.H_Lieferbedingung;INTEGER;zz9;
33;Incoterm;Incoterm;E_BelegPos.H_Incoterm;CHARACTER;x(3);
34;#Tg bis VerfallDat;Shelf Life;E_BelegPos.uCI_MinimumShelfLife;INTEGER;zzz9;
35;Liefertermin Soll;Delivery Date Target;E_BelegPos.uCI_ReqDeliveryDate;DATE;99.99.9999;
36;Eintreffdatum;Arrival Date;E_BelegPos.uCI_ArrivalDate;DATE;99.99.9999;
37;Chargennummer Bstl;Lot Number Purchase Order;E_BelegPos.uCI_Lot;CHARACTER;x(20);
38;Zusatzkosten;Additional Costs;E_BelegPos.uCA_AddCosts;DECIMAL;z,zzz,zz9.99-;
39;Rabattart ZusKo;Discount Type of Additional Costs;E_BelegPos.uCA_AddCosts_Type;CHARACTER;x(3);
40;Einmalkosten;Once-Only Costs;E_BelegPos.uCA_OneOffCosts;DECIMAL;z,zzz,zz9.99-;
41;Rabattart EinMaKo;Discount Type of Once-Only Costs;E_BelegPos.uCA_OneOffCosts_Type;CHARACTER;x(3);
42;Lief-TeileNr;PO Number;E_BelegPos.uCE_PONumber;CHARACTER;x(30);
43;Kostenstelle;Cost Center;S_KostenStelle.Kostenstelle;INTEGER;zzzzzzz9;
44;Kostenträger;Cost Object;S_KoTraeger.KostenTraeger;CHARACTER;x(20);
